Fault No.,Fault Name,Level,Car Type,D1,D2,D3,D4,D5,D6,D7,TD,C1
SIV 001,Pantograph raised,1:Pantograph raised,0:Pantograph Not raised,Digital Input M6575,,,,,,,,
SIV 002,Battery voltage,(0-110V)/(0-384),,Analog Input,,,,,,,,
SIV 003,Battery Breaker trip,1:Breaker trip,0:Breaker Not trip,Digital Input M6464,,,,,,,,
SIV 004,Battery contactor,1:Battery contactor on,0:Battery contactor off,Digital Input M6461,,,,,,,,
SIV 005,IVCK1 on,1:IVCK1 on,0:IVCK1 off,Digital Input M6451,,,,,,,,
SIV 006,IVCK2 on,1:IVCK2 on,0:IVCK2 off,Digital Input M6452,,,,,,,,
SIV 007,Remote Power Supply Relay,1:RPSR on,0:RPSR off,Digital Output M6491,,,,,,,,
SIV 008,Extention Power Supply Contactor 1,1:Contactor on,0:Contactor off,Digital Input M6457,,,,,,,,
SIV 009,Extention Power Supply Contactor 2,1:Contactor on,0:Contactor off,Digital Input M6458,,,,,,,,
SIV 010,AC shore switch on,1:switch on,0:switch off,Digital Input M6462,,,,,,,,
SIV 011,DC shore switch on,1:switch on,0:switch off,Digital Input M6463,,,,,,,,
SIV 012,Battery charger Health,1:Battery charger Healthy,0:Battery charger failure,Digital Input M6465,,,,,,,,
SIV 013,SIV 1 Contactor,1:Contactor on,0:Contactor off,Digital Input M6453,,,,,,,,
SIV 014,SIV 2 Contactor,1:Contactor on,0:Contactor off,Digital Input M6454,,,,,,,,
SIV 015,SIV1 failure,1:SIV1 Down,0:SIV1 No Down,Digital Input M6455,,,,,,,,
SIV 016,SIV2 failure,1:SIV2 Down,0:SIV2 No Down,Digital Input M6456,,,,,,,,
SIV 099,SIV1 Status valid,0:Normal,other:Fault,Internal Software Data,,,,,,,,
SIV 100,SIV1 Transmission fault,0:Normal,other:Fault,Internal Software Data,,,,,,,,
SIV 101,SIV1 Watt per hour,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 102,SIV1 SIV START,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 103,SIV1 IVK2 ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 104,SIV1 IVK1 ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 105,SIV1 SIVK ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 106,SIV1 VCB ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 107,SIV1 APC ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 108,SIV1 ACOSC,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 109,SIV1 ACOCD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 110,SIV1 ACOVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 111,SIV1 ACLVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 112,SIV1 ACLOVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 113,SIV1 CPSF,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 114,SIV1 STF,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 115,SIV1 CONVOCD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 116,SIV1 INVFOU,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 117,SIV1 INVFOV,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 118,SIV1 INVFOW,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 119,SIV1 CONVFOU,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 120,SIV1 CONVFOV,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 121,SIV1 IAOC,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 122,SIV1 GFD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 123,SIV1 Input Voltage,AC470V/66H,,Status Data,,,,,,,,
SIV 124,SIV1 Input Current,AC381V/66H,,Status Data,,,,,,,,
SIV 125,SIV1 Output Voltage,AC380V/66H,,Status Data,,,,,,,,
SIV 126,SIV1 Output Current,AC304A/66H,,Status Data,,,,,,,,
SIV 127,SIV1 Output voltage Frequency,45-60Hz/96H,,Status Data,,,,,,,,
SIV 128,SIV1 DC Link Voltage,750V/66H,,Status Data,,,,,,,,
SIV 129,SIV1 CONV ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 130,SIV1 INV ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 131,SIV1 INVOVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 132,SIV1 THD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 133,SIV1 VSLVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 199,SIV2 Status valid,0:Normal,other:Fault,Internal Software Data,,,,,,,,
SIV 200,SIV2 Transmission fault,0:Normal,other:Fault,Internal Software Data,,,,,,,,
SIV 201,SIV2 Watt per hour,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 202,SIV2 SIV START,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 203,SIV2 IVK2 ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 204,SIV2 IVK1 ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 205,SIV2 SIVK ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 206,SIV2 VCB ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 207,SIV2 APC ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 208,SIV2 ACOSC,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 209,SIV2 ACOCD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 210,SIV2 ACOVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 211,SIV2 ACLVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 212,SIV2 ACLOVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 213,SIV2 CPSF,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 214,SIV2 STF,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 215,SIV2 CONVOCD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 216,SIV2 INVFOU,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 217,SIV2 INVFOV,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 218,SIV2 INVFOW,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 219,SIV2 CONVFOU,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 220,SIV2 CONVFOV,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 221,SIV2 IAOC,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 222,SIV2 GFD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 223,SIV2 Input Voltage,AC470V/66H,,Status Data,,,,,,,,
SIV 224,SIV2 Input Current,AC381V/66H,,Status Data,,,,,,,,
SIV 225,SIV2 Output Voltage,AC380V/66H,,Status Data,,,,,,,,
SIV 226,SIV2 Output Current,AC304A/66H,,Status Data,,,,,,,,
SIV 227,SIV2 Output voltage Frequency,45-60Hz/96H,,Status Data,,,,,,,,
SIV 228,SIV2 DC Link Voltage,750V/66H,,Status Data,,,,,,,,
SIV 229,SIV2 CONV ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 230,SIV2 INV ON,1:Active,0:Inactive,Status Data,,,,,,,,
SIV 231,SIV2 INVOVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 232,SIV2 THD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 233,SIV2 VSLVD,1:Fault,0:Normal,Status Data,,,,,,,,
SIV 400,SIV1 Running distance valid,1:valid,0:invalid,Status Data Request,,,,,,,,
SIV 401,SIV1 Train Number valid,1:valid,0:invalid,Status Data Request,,,,,,,,
SIV 402,SIV1 Current Station valid,1:valid,0:invalid,Status Data Request,,,,,,,,
SIV 403,SIV1 Next Station valid,1:valid,0:invalid,Status Data Request,,,,,,,,
SIV 404,SIV1 Running distance,m/bit,,Status Data Request,,,,,,,,
SIV 405,SIV1 Train Number,BCD,,Status Data Request,,,,,,,,
SIV 406,SIV1 Current Station,ASCII,,Status Data Request,,,,,,,,
SIV 407,SIV1 Next Station,ASCII,,Status Data Request,,,,,,,,
SIV 450,SIV2 Running distance valid,1:valid,0:invalid,Status Data Request,,,,,,,,
SIV 451,SIV2 Train Number valid,1:valid,0:invalid,Status Data Request,,,,,,,,
SIV 452,SIV2 Current Station valid,1:valid,0:invalid,Status Data Request,,,,,,,,
SIV 453,SIV2 Next Station valid,1:valid,0:invalid,Status Data Request,,,,,,,,
SIV 454,SIV2 Running distance,m/bit,,Status Data Request,,,,,,,,
SIV 455,SIV2 Train Number,BCD,,Status Data Request,,,,,,,,
SIV 456,SIV2 Current Station,ASCII,,Status Data Request,,,,,,,,
SIV 457,SIV2 Next Station,ASCII,,Status Data Request,,,,,,,,
SIV 500,SIV1 Continuation 25 reply No Response to TDR,,,Internal Software Data,,,,,,,,
SIV 501,SIV2 Continuation 25 reply No Response to TDR,,,Internal Software Data,,,,,,,,
SIV 502,Pantograph Isolate,1:Isolated,0:Not isolated,Internal Software Data,,,,,,,,
SIV 503,Recognition that the car has PTK,1:Recognition,0:Not recognition,Internal Software Data,,,,,,,,
SIV 504,Recognition that the car has Battery,1:Recognition,0:Not recognition,Internal Software Data,,,,,,,,
DRU 000,Door up side enable,1:Door up side enable,0:Door up side disable,Digital Input D01,,,,,,,,
DRU 001,Door Re-open up side activated,1:Active,0:Inactive,Digital Input D03,,,,,,,,
DRU 002,UEED access detection switch,1:switch off,0:switch on,Digital Input M6652,,,,,,,,
DRU 003,Door up side open signal,1:Open,0:Close,Digital Input D1101,,,,,,,,
DRU 099,DCU U1 Status valid,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 100,DCU U1 Transmission fault,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 101,DCU U1 IEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 102,DCU U1 EEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 103,DCU U1 Lock out switch activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 104,DCU U1 DCS1 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 105,DCU U1 DCS2 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 106,DCU U1 DLS activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 107,DCU U1 Obstacle detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 108,DCU U1 Door full Opened,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 109,DCU U1 Door Closed detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 110,DCU U1 Door isolated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 111,DCU U1 DLS failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 112,DCU U1 DCS1 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 113,DCU U1 DCS2 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 114,DCU U1 EDCU failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 115,DCU U1 Motor circuit failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 116,DCU U1 The average opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 117,DCU U1 The average closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 118,DCU U1 The average opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 119,DCU U1 The average closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 120,DCU U1 The last opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 121,DCU U1 The last closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 122,DCU U1 The last opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 123,DCU U1 The last closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 124,DCU U1 Average opening time during the last 5 opening motions,BCD,,Status Data,,,,,,,,
DRU 125,DCU U1 Average closing time during the last 5 closing motions,BCD,,Status Data,,,,,,,,
DRU 126,DCU U1 Average opening current during the last 5 opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 127,DCU U1 Average closing current during the last 5 closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 128,DCU U1 Opening time during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 129,DCU U1 Closing time during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 130,DCU U1 Opening current during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 131,DCU U1 Closing current during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 132,DCU U1 Door isolated By TMS Command,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 133,DCU U1 Sensor drift above tolerance,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 149,DCU U2 Status valid,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 150,DCU U2 Transmission fault,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 151,DCU U2 IEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 152,DCU U2 EEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 153,DCU U2 Lock out switch activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 154,DCU U2 DCS1 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 155,DCU U2 DCS2 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 156,DCU U2 DLS activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 157,DCU U2 Obstacle detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 158,DCU U2 Door full Opened,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 159,DCU U2 Door Closed detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 160,DCU U2 Door isolated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 161,DCU U2 DLS failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 162,DCU U2 DCS1 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 163,DCU U2 DCS2 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 164,DCU U2 EDCU failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 165,DCU U2 Motor circuit failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 166,DCU U2 The average opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 167,DCU U2 The average closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 168,DCU U2 The average opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 169,DCU U2 The average closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 170,DCU U2 The last opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 171,DCU U2 The last closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 172,DCU U2 The last opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 173,DCU U2 The last closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 174,DCU U2 Average opening time during the last 5 opening motions,BCD,,Status Data,,,,,,,,
DRU 175,DCU U2 Average closing time during the last 5 closing motions,BCD,,Status Data,,,,,,,,
DRU 176,DCU U2 Average opening current during the last 5 opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 177,DCU U2 Average closing current during the last 5 closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 178,DCU U2 Opening time during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 179,DCU U2 Closing time during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 180,DCU U2 Opening current during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 181,DCU U2 Closing current during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 182,DCU U2 Door isolated By TMS Command,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 183,DCU U2 Sensor drift above tolerance,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 199,DCU U3 Status valid,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 200,DCU U3 Transmission fault,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 201,DCU U3 IEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 202,DCU U3 EEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 203,DCU U3 Lock out switch activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 204,DCU U3 DCS1 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 205,DCU U3 DCS2 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 206,DCU U3 DLS activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 207,DCU U3 Obstacle detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 208,DCU U3 Door full Opened,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 209,DCU U3 Door Closed detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 210,DCU U3 Door isolated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 211,DCU U3 DLS failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 212,DCU U3 DCS1 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 213,DCU U3 DCS2 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 214,DCU U3 EDCU failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 215,DCU U3 Motor circuit failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 216,DCU U3 The average opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 217,DCU U3 The average closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 218,DCU U3 The average opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 219,DCU U3 The average closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 220,DCU U3 The last opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 221,DCU U3 The last closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 222,DCU U3 The last opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 223,DCU U3 The last closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 224,DCU U3 Average opening time during the last 5 opening motions,BCD,,Status Data,,,,,,,,
DRU 225,DCU U3 Average closing time during the last 5 closing motions,BCD,,Status Data,,,,,,,,
DRU 226,DCU U3 Average opening current during the last 5 opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 227,DCU U3 Average closing current during the last 5 closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 228,DCU U3 Opening time during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 229,DCU U3 Closing time during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 230,DCU U3 Opening current during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 231,DCU U3 Closing current during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 232,DCU U3 Door isolated By TMS Command,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 233,DCU U3 Sensor drift above tolerance,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 249,DCU U4 Status valid,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 250,DCU U4 Transmission fault,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 251,DCU U4 IEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 252,DCU U4 EEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 253,DCU U4 Lock out switch activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 254,DCU U4 DCS1 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 255,DCU U4 DCS2 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 256,DCU U4 DLS activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 257,DCU U4 Obstacle detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 258,DCU U4 Door full Opened,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 259,DCU U4 Door Closed detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 260,DCU U4 Door isolated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 261,DCU U4 DLS failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 262,DCU U4 DCS1 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 263,DCU U4 DCS2 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 264,DCU U4 EDCU failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 265,DCU U4 Motor circuit failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 266,DCU U4 The average opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 267,DCU U4 The average closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 268,DCU U4 The average opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 269,DCU U4 The average closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 270,DCU U4 The last opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 271,DCU U4 The last closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 272,DCU U4 The last opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 273,DCU U4 The last closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 274,DCU U4 Average opening time during the last 5 opening motions,BCD,,Status Data,,,,,,,,
DRU 275,DCU U4 Average closing time during the last 5 closing motions,BCD,,Status Data,,,,,,,,
DRU 276,DCU U4 Average opening current during the last 5 opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 277,DCU U4 Average closing current during the last 5 closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 278,DCU U4 Opening time during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 279,DCU U4 Closing time during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 280,DCU U4 Opening current during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 281,DCU U4 Closing current during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 282,DCU U4 Door isolated By TMS Command,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 283,DCU U4 Sensor drift above tolerance,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 299,DCU U5 Status valid,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 300,DCU U5 Transmission fault,0:Normal,other:Fault,Internal Software Data,,,,,,,,
DRU 301,DCU U5 IEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 302,DCU U5 EEDR activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 303,DCU U5 Lock out switch activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 304,DCU U5 DCS1 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 305,DCU U5 DCS2 activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 306,DCU U5 DLS activated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 307,DCU U5 Obstacle detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 308,DCU U5 Door full Opened,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 309,DCU U5 Door Closed detected,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 310,DCU U5 Door isolated,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 311,DCU U5 DLS failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 312,DCU U5 DCS1 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 313,DCU U5 DCS2 failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 314,DCU U5 EDCU failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 315,DCU U5 Motor circuit failure,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 316,DCU U5 The average opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 317,DCU U5 The average closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 318,DCU U5 The average opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 319,DCU U5 The average closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 320,DCU U5 The last opening time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 321,DCU U5 The last closing time valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 322,DCU U5 The last opening current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 323,DCU U5 The last closing current valid,1:Valid,0:Invalid,Status Data,,,,,,,,
DRU 324,DCU U5 Average opening time during the last 5 opening motions,BCD,,Status Data,,,,,,,,
DRU 325,DCU U5 Average closing time during the last 5 closing motions,BCD,,Status Data,,,,,,,,
DRU 326,DCU U5 Average opening current during the last 5 opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 327,DCU U5 Average closing current during the last 5 closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 328,DCU U5 Opening time during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 329,DCU U5 Closing time during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 330,DCU U5 Opening current during the last opening motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 331,DCU U5 Closing current during the last closing motions without obstacle detection,BCD,,Status Data,,,,,,,,
DRU 332,DCU U5 Door isolated By TMS Command,1:Active,0:Inactive,Status Data,,,,,,,,
DRU 333,DCU U5 Sensor drift above tolerance,1:Fault,0:Normal,Status Data,,,,,,,,
DRU 400,DCU U1 Re-open command Valid,1:valid,0:invalid,Status Data Request,,,,,,,,
DRU 401,DCU U1 Opening inhibition valid,1:valid,0:invalid,Status Data Request,,,,,,,,
DRU 402,DCU U1 Re-open 1,ASCII,,Status Data Request,,,,,,,,
DRU 403,DCU U1 Re-open 2,ASCII,,Status Data Request,,,,,,,,
DRU 404,DCU U1 Opening inhibition 1,ASCII,,Status Data Request,,,,,,,,
DRU 405,DCU U1 Opening inhibition 2,ASCII,,Status Data Request,,,,,,,,
DRU 420,DCU U2 Re-open command Valid,1:valid,0:invalid,Status Data Request,,,,,,,,
DRU 421,DCU U2 Opening inhibition valid,1:valid,0:invalid,Status Data Request,,,,,,,,
DRU 422,DCU U2 Re-open 1,ASCII,,Status Data Request,,,,,,,,
DRU 423,DCU U2 Re-open 2,ASCII,,Status Data Request,,,,,,,,
DRU 424,DCU U2 Opening inhibition 1,ASCII,,Status Data Request,,,,,,,,
DRU 425,DCU U2 Opening inhibition 2,ASCII,,Status Data Request,,,,,,,,
DRU 440,DCU U3 Re-open command Valid,1:valid,0:invalid,Status Data Request,,,,,,,,
DRU 441,DCU U3 Opening inhibition valid,1:valid,0:invalid,Status Data Request,,,,,,,,
DRU 442,DCU U3 Re-open 1,ASCII,,Status Data Request,,,,,,,,
DRU 443,DCU U3 Re-open 2,ASCII,,Status Data Request,,,,,,,,
DRU 444,DCU U3 Opening inhibition 1,ASCII,,Status Data Request,,,,,,,,
DRU 445,DCU U3 Opening inhibition 2,ASCII,,Status Data Request,,,,,,,,
DRU 460,DCU U4 Re-open command Valid,1:valid,0:invalid,Status Data Request,,,,,,,,
DRU 461,DCU U4 Opening inhibition valid,1:valid,0:invalid,Status Data Request,,,,,,,,
DRU 462,DCU U4 Re-open 1,ASCII,,Status Data Request,,,,,,,,
DRU 463,DCU U4 Re-open 2,ASCII,,Status Data Request,,,,,,,,
DRU 464,DCU U4 Opening inhibition 1,ASCII,,Status Data Request,,,,,,,,
DRU 465,DCU U4 Opening inhibition 2,ASCII,,Status Data Request,,,,,,,,
